subject,stage,model,channel,channel_index,baseline_accuracy_percent,shuffled_accuracy_percent_mean,shuffled_accuracy_percent_sd,contribution_pp,contribution_pp_positive,contribution_norm
P1,PRE,Fixed CSP+LDA,FC3,1,82.5,50.916666666666664,1.5115297622680877,31.583333333333336,31.583333333333336,0.9346485819975341
P1,PRE,Fixed CSP+LDA,FCz,2,82.5,48.708333333333336,1.3103487661263653,33.791666666666664,33.791666666666664,1.0
P1,PRE,Fixed CSP+LDA,FC4,3,82.5,50.33333333333333,0.9646530752325179,32.16666666666667,32.16666666666667,0.9519112207151667
P1,PRE,Fixed CSP+LDA,C5,4,82.5,50.66666666666666,1.1960583412006098,31.833333333333343,31.833333333333343,0.9420468557336625
P1,PRE,Fixed CSP+LDA,C3,5,82.5,73.00000000000001,2.179449471770338,9.499999999999986,9.499999999999986,0.2811344019728726
P1,PRE,Fixed CSP+LDA,C1,6,82.5,54.166666666666664,1.6244657241348281,28.333333333333336,28.333333333333336,0.838471023427867
P1,PRE,Fixed CSP+LDA,Cz,7,82.5,50.29166666666667,0.8343743497708654,32.20833333333333,32.20833333333333,0.9531442663378544
P1,PRE,Fixed CSP+LDA,C2,8,82.5,56.00000000000001,1.1365151414154857,26.499999999999993,26.499999999999993,0.7842170160295929
P1,PRE,Fixed CSP+LDA,C4,9,82.5,50.624999999999986,1.0077822185373182,31.875000000000014,31.875000000000014,0.9432799013563506
P1,PRE,Fixed CSP+LDA,C6,10,82.5,52.5,0.9128709291752767,30.0,30.0,0.8877928483353885
P1,PRE,Fixed CSP+LDA,CP3,11,82.5,50.16666666666667,0.8374896350934075,32.33333333333333,32.33333333333333,0.9568434032059185
P1,PRE,Fixed CSP+LDA,CP1,12,82.5,89.4583333333333,1.103183524572812,-6.9583333333333,0.0,0.0
P1,PRE,Fixed CSP+LDA,CPz,13,82.5,60.583333333333336,1.538848776051616,21.916666666666664,21.916666666666664,0.6485819975339088
P1,PRE,Fixed CSP+LDA,CP2,14,82.5,88.04166666666667,2.007364911740984,-5.541666666666671,0.0,0.0
P1,PRE,Fixed CSP+LDA,CP4,15,82.5,50.541666666666664,0.834374349770866,31.958333333333336,31.958333333333336,0.9457459926017264
P1,PRE,Fixed CSP+LDA,Pz,16,82.5,86.62500000000001,1.6817030058842128,-4.125000000000014,0.0,0.0
P1,POST,Fixed CSP+LDA,FC3,1,90.0,52.583333333333336,0.8498365855987985,37.416666666666664,37.416666666666664,0.9502645502645503
P1,POST,Fixed CSP+LDA,FCz,2,90.0,61.25000000000001,1.6457014715109575,28.749999999999993,28.749999999999993,0.73015873015873
P1,POST,Fixed CSP+LDA,FC4,3,90.0,75.41666666666667,2.148966159704603,14.583333333333329,14.583333333333329,0.37037037037037024
P1,POST,Fixed CSP+LDA,C5,4,90.0,60.958333333333336,1.728539042724295,29.041666666666664,29.041666666666664,0.7375661375661375
P1,POST,Fixed CSP+LDA,C3,5,90.0,60.0,2.0916500663351894,30.0,30.0,0.7619047619047619
P1,POST,Fixed CSP+LDA,C1,6,90.0,50.625,0.8385254915624206,39.375,39.375,1.0
P1,POST,Fixed CSP+LDA,Cz,7,90.0,50.66666666666665,0.7728015412913076,39.33333333333335,39.33333333333335,0.9989417989417994
P1,POST,Fixed CSP+LDA,C2,8,90.0,74.04166666666666,3.8008131439937367,15.958333333333343,15.958333333333343,0.40529100529100553
P1,POST,Fixed CSP+LDA,C4,9,90.0,55.87500000000001,1.2140668570277866,34.12499999999999,34.12499999999999,0.8666666666666665
P1,POST,Fixed CSP+LDA,C6,10,90.0,86.33333333333336,1.8800856954464131,3.666666666666643,3.666666666666643,0.09312169312169252
P1,POST,Fixed CSP+LDA,CP3,11,90.0,52.87499999999999,1.4123709380565252,37.12500000000001,37.12500000000001,0.9428571428571431
P1,POST,Fixed CSP+LDA,CP1,12,90.0,50.79166666666667,0.8829008375173786,39.20833333333333,39.20833333333333,0.9957671957671956
P1,POST,Fixed CSP+LDA,CPz,13,90.0,64.91666666666667,2.257702864024011,25.08333333333333,25.08333333333333,0.637037037037037
P1,POST,Fixed CSP+LDA,CP2,14,90.0,83.33333333333334,1.4907119849998611,6.666666666666657,6.666666666666657,0.16931216931216908
P1,POST,Fixed CSP+LDA,CP4,15,90.0,89.79166666666664,0.4658474953124586,0.20833333333335702,0.20833333333335702,0.005291005291005893
